campaign_name,campaign_id,impressions,clicks,spend,date_start,date_stop,age,gender,spend_eur
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,31,1,0.69,2023-07-27,2025-03-18,35-44,female,0.6623999999999999
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,1,0,0.02,2023-07-27,2025-03-18,35-44,unknown,0.0192
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,65,4,1.83,2023-07-27,2025-03-18,45-54,female,1.7568
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,3,0,0.03,2023-07-27,2025-03-18,45-54,male,0.0288
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,187,4,4.33,2023-07-27,2025-03-18,55-64,female,4.1568
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,10,0,0.37,2023-07-27,2025-03-18,55-64,male,0.35519999999999996
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,1,0,0.03,2023-07-27,2025-03-18,55-64,unknown,0.0288
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,700,19,19.44,2023-07-27,2025-03-18,65+,female,18.6624
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,35,1,0.63,2023-07-27,2025-03-18,65+,male,0.6048
23 DECEMBER - Elegant Wool Beret- 1.38 - SINGLE PRODUCT,120214413973060719,3,0,0.01,2023-07-27,2025-03-18,65+,unknown,0.0096
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,9,0,0.07,2023-07-27,2025-03-18,18-24,female,0.06720000000000001
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,38,0,0.53,2023-07-27,2025-03-18,18-24,male,0.5088
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,4,0,0.02,2023-07-27,2025-03-18,18-24,unknown,0.0192
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,25,2,0.29,2023-07-27,2025-03-18,25-34,female,0.2784
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,88,2,0.89,2023-07-27,2025-03-18,25-34,male,0.8543999999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,4,0,0.05,2023-07-27,2025-03-18,25-34,unknown,0.048
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,59,3,0.94,2023-07-27,2025-03-18,35-44,female,0.9023999999999999
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,63,3,0.54,2023-07-27,2025-03-18,35-44,male,0.5184
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,3,0,0,2023-07-27,2025-03-18,35-44,unknown,0.0
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,109,13,1.71,2023-07-27,2025-03-18,45-54,female,1.6416
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,70,6,0.79,2023-07-27,2025-03-18,45-54,male,0.7584
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,1,0,0.04,2023-07-27,2025-03-18,45-54,unknown,0.0384
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,314,47,5.87,2023-07-27,2025-03-18,55-64,female,5.6352
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,179,8,2.52,2023-07-27,2025-03-18,55-64,male,2.4192
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,1,0,0,2023-07-27,2025-03-18,55-64,unknown,0.0
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,576,133,10.64,2023-07-27,2025-03-18,65+,female,10.2144
27 DECEMBER - Stylish Striped Sports Tracksuit- 1.56 - SINGLE PRODUCT,120214499921930719,169,19,2.92,2023-07-27,2025-03-18,65+,male,2.8032
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,14,0,0.09,2023-07-27,2025-03-18,18-24,female,0.08639999999999999
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,49,0,0.35,2023-07-27,2025-03-18,18-24,male,0.33599999999999997
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,2,0,0,2023-07-27,2025-03-18,18-24,unknown,0.0
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,24,0,0.41,2023-07-27,2025-03-18,25-34,female,0.39359999999999995
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,106,1,0.88,2023-07-27,2025-03-18,25-34,male,0.8448
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,4,0,0.01,2023-07-27,2025-03-18,25-34,unknown,0.0096
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,53,0,0.68,2023-07-27,2025-03-18,35-44,female,0.6528
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,107,1,0.96,2023-07-27,2025-03-18,35-44,male,0.9216
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,3,0,0.01,2023-07-27,2025-03-18,35-44,unknown,0.0096
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,95,2,1.17,2023-07-27,2025-03-18,45-54,female,1.1232
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,167,4,2.02,2023-07-27,2025-03-18,45-54,male,1.9392
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,3,0,0.2,2023-07-27,2025-03-18,45-54,unknown,0.192
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,138,2,1.82,2023-07-27,2025-03-18,55-64,female,1.7472
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,205,4,3.01,2023-07-27,2025-03-18,55-64,male,2.8895999999999997
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,2,1,0.02,2023-07-27,2025-03-18,55-64,unknown,0.0192
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,98,8,1.29,2023-07-27,2025-03-18,65+,female,1.2384
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,212,6,2.87,2023-07-27,2025-03-18,65+,male,2.7552
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,1,0,0.02,2023-07-27,2025-03-18,65+,unknown,0.0192
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,14,0,0.11,2023-07-27,2025-03-18,18-24,female,0.1056
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,4,0,0.04,2023-07-27,2025-03-18,18-24,male,0.0384
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,76,2,1.04,2023-07-27,2025-03-18,25-34,female,0.9984
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,6,0,0.1,2023-07-27,2025-03-18,25-34,male,0.096
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,147,1,2.06,2023-07-27,2025-03-18,35-44,female,1.9776
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,3,1,0.07,2023-07-27,2025-03-18,35-44,male,0.06720000000000001
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,1,0,0.01,2023-07-27,2025-03-18,35-44,unknown,0.0096
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,169,2,3.79,2023-07-27,2025-03-18,45-54,female,3.6384
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,16,0,0.21,2023-07-27,2025-03-18,45-54,male,0.20159999999999997
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,1,0,0.03,2023-07-27,2025-03-18,45-54,unknown,0.0288
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,173,8,4.38,2023-07-27,2025-03-18,55-64,female,4.2048
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,12,0,0.14,2023-07-27,2025-03-18,55-64,male,0.13440000000000002
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,3,0,0.22,2023-07-27,2025-03-18,55-64,unknown,0.2112
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,106,6,3.22,2023-07-27,2025-03-18,65+,female,3.0912
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,7,0,0.07,2023-07-27,2025-03-18,65+,male,0.06720000000000001
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,1,0,0.01,2023-07-27,2025-03-18,65+,unknown,0.0096
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,5,2,0.12,2023-07-27,2025-03-18,18-24,female,0.1152
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,68,5,2.14,2023-07-27,2025-03-18,18-24,male,2.0544000000000002
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,1,1,0.43,2023-07-27,2025-03-18,18-24,unknown,0.4128
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,15,3,0.4,2023-07-27,2025-03-18,25-34,female,0.384
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,73,5,1.71,2023-07-27,2025-03-18,25-34,male,1.6416
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,24,1,0.36,2023-07-27,2025-03-18,35-44,female,0.34559999999999996
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,60,3,0.91,2023-07-27,2025-03-18,35-44,male,0.8736
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,1,0,0.01,2023-07-27,2025-03-18,35-44,unknown,0.0096
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,91,4,1.25,2023-07-27,2025-03-18,45-54,female,1.2
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,122,0,1.24,2023-07-27,2025-03-18,45-54,male,1.1904
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,258,35,4.77,2023-07-27,2025-03-18,55-64,female,4.579199999999999
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,228,14,3.65,2023-07-27,2025-03-18,55-64,male,3.504
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,1,0,0,2023-07-27,2025-03-18,55-64,unknown,0.0
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,410,69,7.52,2023-07-27,2025-03-18,65+,female,7.219199999999999
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,302,30,5.16,2023-07-27,2025-03-18,65+,male,4.9536
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,2,0,0.04,2023-07-27,2025-03-18,65+,unknown,0.0384
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,1,0,0.12,2023-07-27,2025-03-18,18-24,female,0.1152
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,19,1,0.41,2023-07-27,2025-03-18,18-24,male,0.39359999999999995
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,10,1,0.17,2023-07-27,2025-03-18,25-34,female,0.1632
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,30,0,2.07,2023-07-27,2025-03-18,25-34,male,1.9871999999999999
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,21,4,0.49,2023-07-27,2025-03-18,35-44,female,0.4704
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,20,2,0.25,2023-07-27,2025-03-18,35-44,male,0.24
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,62,2,0.84,2023-07-27,2025-03-18,45-54,female,0.8063999999999999
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,31,5,0.45,2023-07-27,2025-03-18,45-54,male,0.432
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,201,7,2.79,2023-07-27,2025-03-18,55-64,female,2.6784
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,166,12,2.22,2023-07-27,2025-03-18,55-64,male,2.1312
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,1222,210,20.31,2023-07-27,2025-03-18,65+,female,19.4976
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,595,88,8.35,2023-07-27,2025-03-18,65+,male,8.016
30 DECEMBER - Casual Long-sleeved Men's Shirt - 1.48 - SINGLE PRODUCT,120214583168200719,6,2,0.08,2023-07-27,2025-03-18,65+,unknown,0.0768
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,1,0,0.009995,2023-07-27,2025-03-18,18-24,female,0.0095952
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,25,4,0.459766,2023-07-27,2025-03-18,18-24,male,0.44137536
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,9,1,0.239878,2023-07-27,2025-03-18,25-34,female,0.23028288
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,18,0,0.56971,2023-07-27,2025-03-18,25-34,male,0.5469216
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,14,2,0.329832,2023-07-27,2025-03-18,35-44,female,0.31663872
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,9,0,0.159919,2023-07-27,2025-03-18,35-44,male,0.15352224
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,41,2,0.52973,2023-07-27,2025-03-18,45-54,female,0.5085408
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,15,1,0.229883,2023-07-27,2025-03-18,45-54,male,0.22068768
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,1,0,0.009995,2023-07-27,2025-03-18,45-54,unknown,0.0095952
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,191,19,3.088427,2023-07-27,2025-03-18,55-64,female,2.9648899199999996
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,48,2,0.769608,2023-07-27,2025-03-18,55-64,male,0.73882368
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,1,0,0,2023-07-27,2025-03-18,55-64,unknown,0.0
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,1743,291,29.125163,2023-07-27,2025-03-18,65+,female,27.96015648
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,266,35,3.668131,2023-07-27,2025-03-18,65+,male,3.5214057599999995
31 DECEMBER - Men's Cashmere Sweater - 1.49 - SINGLE PRODUCT,120214583381520719,4,0,0.069964,2023-07-27,2025-03-18,65+,unknown,0.06716543999999999
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,9,0,0.209982,2023-07-27,2025-03-18,18-24,female,0.20158272
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,256,25,6.739413,2023-07-27,2025-03-18,18-24,male,6.46983648
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,3,1,0.379967,2023-07-27,2025-03-18,18-24,unknown,0.36476832
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,18,0,0.34997,2023-07-27,2025-03-18,25-34,female,0.33597119999999997
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,239,23,7.409355,2023-07-27,2025-03-18,25-34,male,7.1129808
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,2,0,0.009999,2023-07-27,2025-03-18,25-34,unknown,0.00959904
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,28,0,0.179984,2023-07-27,2025-03-18,35-44,female,0.17278464
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,87,9,1.459873,2023-07-27,2025-03-18,35-44,male,1.40147808
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,4,0,0.079993,2023-07-27,2025-03-18,35-44,unknown,0.07679327999999999
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,114,8,0.829928,2023-07-27,2025-03-18,45-54,female,0.7967308799999999
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,178,12,2.309799,2023-07-27,2025-03-18,45-54,male,2.21740704
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,2,0,0,2023-07-27,2025-03-18,45-54,unknown,0.0
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,369,22,5.7395,2023-07-27,2025-03-18,55-64,female,5.509919999999999
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,469,40,5.569515,2023-07-27,2025-03-18,55-64,male,5.3467344
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,2,0,0.029997,2023-07-27,2025-03-18,55-64,unknown,0.02879712
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,3536,508,54.865221,2023-07-27,2025-03-18,65+,female,52.67061216
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,2111,280,28.367529,2023-07-27,2025-03-18,65+,male,27.23282784
31 DECEMBER - Stylish Button-down Cardigan - 1.56 - SINGLE PRODUCT,120214583533640719,15,3,0.279976,2023-07-27,2025-03-18,65+,unknown,0.26877696
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,23,0,0.42975,2023-07-27,2025-03-18,18-24,female,0.41256
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,115,10,2.308656,2023-07-27,2025-03-18,18-24,male,2.21630976
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,1,0,0.009994,2023-07-27,2025-03-18,18-24,unknown,0.009594239999999999
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,60,7,0.919465,2023-07-27,2025-03-18,25-34,female,0.8826864
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,156,9,3.967691,2023-07-27,2025-03-18,25-34,male,3.8089833599999996
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,2,0,0.069959,2023-07-27,2025-03-18,25-34,unknown,0.06716064
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,73,7,0.819523,2023-07-27,2025-03-18,35-44,female,0.78674208
31 DECEMBER - Warm and Elegant Hooded Fur and Leather Jacket - 1.57 - SINGLE PRODUCT,120214583676510719,156,7,1.609063,2023-07-27,2025-03-18,35-44,male,1.54470048
