,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%),Original Campaign,Product Count,Total Refunds,Total Refund Value,Refund Rate,Total Disputes,Dispute Rate,Top Refund Reasons
1 JANUARY - Cozy Graphic Sweater - 1.59 - SINGLE PRODUCT,Cozy Graphic Sweater,https://dd3662-08.myshopify.com/products/799690288124657664,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-50.1888,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.1888,-100.0,0.0,50.1888,5763.0,112.0,1.9434322401526982,0.0,0.0,0.0,,,,,,,,,,,
1 JANUARY - Soft Fur-lined Slippers - 1.55 - SINGLE PRODUCT,Soft Fur-lined Slippers,https://dd3662-08.myshopify.com/products/soft-fur-lined-slippersneed-to-delete,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-51.0144,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0144,-100.0,0.0,51.0144,4648.0,157.0,3.377796901893287,0.0,0.0,0.0,,,,,,,,,,,
2 JANUARY - Women's Leather Ankle Boots - 1.56 - SINGLE PRODUCT,Women's Leather Ankle Boots [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.0256,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0256,-100.0,0.0,38.0256,2070.0,99.0,4.782608695652174,0.0,0.0,0.0,,,,,,,,,,,
"2 JANUARY - Comfortable, Waterproof Cargo Pants - 1.56 - SINGLE PRODUCT","Comfortable, Waterproof Cargo Pants [No Sales Found]",,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.1216,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.1216,-100.0,0.0,38.1216,1626.0,47.0,2.890528905289053,0.0,0.0,0.0,,,,,,,,,,,
2 JANUARY - Elegant Classic Wool Winter coat - 1.58 - SINGLE PRODUCT,Elegant Classic Wool Winter coat [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-47.587199999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.587199999999996,-100.0,0.0,47.587199999999996,3942.0,77.0,1.9533231861998983,0.0,0.0,0.0,,,,,,,,,,,
2 JANUARY - Cherry Print Oversized Jacket - 1.53 - SINGLE PRODUCT,Cherry Print Oversized Jacket [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-48.681599999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.681599999999996,-100.0,0.0,48.681599999999996,3295.0,84.0,2.549317147192716,0.0,0.0,0.0,,,,,,,,,,,
2 JANUARY - High Waisted Sculpting Cargo Pants - 1.60 - SINGLE PRODUCT,High Waisted Sculpting Cargo Pants [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-29.510399999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.510399999999997,-100.0,0.0,29.510399999999997,1739.0,53.0,3.0477285796434734,0.0,0.0,0.0,,,,,,,,,,,
3 JANUARY - Warm Winter Wool Sweater - 1.37 - SINGLE PRODUCT,Warm Winter Wool Sweater,https://dd3662-08.myshopify.com/products/801107170488745984,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.9664,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.9664,-100.0,0.0,38.9664,2495.0,88.0,3.527054108216433,0.0,0.0,0.0,,,,,,,,,,,
3 JANUARY - Elegant Cozy Cardigan - 1.45 - SINGLE PRODUCT,Elegant Cozy Cardigan,https://dd3662-08.myshopify.com/products/811654167083876352,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-44.9376,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.9376,-100.0,0.0,44.9376,3306.0,189.0,5.716878402903811,0.0,0.0,0.0,,,,,,,,,,,
3 JANUARY - Pullover Hooded Sweater - 1.55 - SINGLE PRODUCT,Pullover Hooded Sweater,https://dd3662-08.myshopify.com/products/801107176633401344,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.2176,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.2176,-100.0,0.0,38.2176,3477.0,65.0,1.8694276675294794,0.0,0.0,0.0,,,,,,,,,,,
3 JANUARY - Luxurious Glitter Knit Zip-up Sweater - 1.59 - SINGLE PRODUCT,Luxurious Glitter Knit Zip-up Sweater [No Sales Found],,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-41.020799999999994,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.020799999999994,-100.0,0.0,41.020799999999994,1576.0,162.0,10.279187817258883,0.0,0.0,0.0,,,,,,,,,,,
3 JANUARY - Classic Fur-lined Leather Jacket - 1.57 - SINGLE PRODUCT,Classic Fur-lined Leather Jacket,https://dd3662-08.myshopify.com/products/801107163022884864,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-40.559999999999995,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.559999999999995,-100.0,0.0,40.559999999999995,3498.0,74.0,2.115494568324757,0.0,0.0,0.0,,,,,,,,,,,
4 JANUARY -  Elegant Pleated Dress - 1.58 - SINGLE PRODUCT,Comfortable Elegant Pleated Dress,https://dd3662-08.myshopify.com/products/819597925712658432,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.0272,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0272,-100.0,0.0,25.0272,1401.0,54.0,3.854389721627409,0.0,0.0,0.0,,,,,,,,,,,
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,Balaclava Hooded Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.1424,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.1424,-100.0,0.0,25.1424,3039.0,56.0,1.8427114182296807,0.0,0.0,0.0,,,,,,,,,,,
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,Stylish Quilted Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-74.8992,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.8992,-100.0,0.0,74.8992,3111.0,212.0,6.814529090324655,0.0,0.0,0.0,,,,,,,,,,,
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,Stylish Winter Boots,https://dd3662-08.myshopify.com/products/818915579950792704,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.5744,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5744,-100.0,0.0,25.5744,1722.0,67.0,3.8908246225319396,0.0,0.0,0.0,,,,,,,,,,,
4 JANUARY - Sporty Hooded Winter Jacket  - 1.48 - SINGLE PRODUCT,Sporty Hooded Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.383999999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.383999999999997,-100.0,0.0,24.383999999999997,2397.0,19.0,0.7926574885273258,0.0,0.0,0.0,,,,,,,,,,,
5 JANUARY - Glittery Long-Sleeved Fringe Dress - 1.53 - SINGLE PRODUCT,Glittery Long-Sleeved Fringe Dress [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-29.232,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.232,-100.0,0.0,29.232,2294.0,47.0,2.048823016564952,0.0,0.0,0.0,,,,,,,,,,,
5 JANUARY - Warm Down Jacket - 1.57 - SINGLE PRODUCT,Warm Down Jacket [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-87.30239999999999,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.30239999999999,-100.0,0.0,87.30239999999999,5387.0,233.0,4.325227399294598,0.0,0.0,0.0,,,,,,,,,,,
5 JANUARY - Stand Collar Quilted Winter Jacket - 1.57 - SINGLE PRODUCT,Stand Collar Quilted Winter Jacket,https://dd3662-08.myshopify.com/products/801492869842993152,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.8112,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.8112,-100.0,0.0,27.8112,2365.0,56.0,2.367864693446089,0.0,0.0,0.0,,,,,,,,,,,
6 JANUARY - Soft Cashmere Zip-up Jacket - 1.57 - SINGLE PRODUCT,Soft Cashmere Zip-up Jacket,https://dd3662-08.myshopify.com/products/801492858103136256,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-39.446400000000004,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.446400000000004,-100.0,0.0,39.446400000000004,2310.0,108.0,4.675324675324675,0.0,0.0,0.0,,,,,,,,,,,
6 JANUARY - Stretchy High-waisted Wide Leg Pants - 1.54 - SINGLE PRODUCT,Stretchy High-waisted Wide Leg Pants [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.928,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.928,-100.0,0.0,38.928,1964.0,78.0,3.971486761710794,0.0,0.0,0.0,,,,,,,,,,,
6 JANUARY - Elegant Classic Plaid Print Dress - 1.50 - SINGLE PRODUCT,Elegant Classic Plaid Print Dress [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-35.9232,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.9232,-100.0,0.0,35.9232,2424.0,60.0,2.4752475247524752,0.0,0.0,0.0,,,,,,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_1,Hooded Parka with Circular Quilting,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_2,Lined Long Parka Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_3,Waterproof and Warm Winter Parka Coat,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_4,Long Winter Coat with Belt,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_5,Casual Long Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_6,Winter Coat with Luxury Fleece Lining,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_7,Houndstooth Midi Wool Coat,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_8,Ultra Light Fashionable Long Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_9,Glam Windbreaker,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_10,Elegant Button-down Woolen Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_11,Premium Down Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION__PRODUCT_12,Padded Jacket,https://dd3662-08.myshopify.com/collections/c33-ads-collection-march-05,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-6.624,-100.0,0.0,7.495833333333334,0.08333333333333333,7.495833333333334,0.08333333333333333,89.95,2.9983333333333335,4.4975,-2.1265,-32.102958937198075,1.131617351046699,6.624,321.5,11.583333333333334,3.602903058579575,0.0,0.0,100.0,,,-28.369093941078376,7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,12.0,,,,,,
8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION__PRODUCT_1,Elegant Evening Dress with Floral Charm,https://dd3662-08.myshopify.com/collections/c34-ads-collection-march-06,2025-01-08 00:00:00+00:00,2025-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,2.7051243243243244,218.21621621621622,5.054054054054054,2.3160762942779294,0.0,0.0,0.0,,,,8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION,37.0,,,,,,
8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION__PRODUCT_2,Pleated Summer Dress,https://dd3662-08.myshopify.com/collections/c34-ads-collection-march-06,2025-01-08 00:00:00+00:00,2025-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,2.7051243243243244,218.21621621621622,5.054054054054054,2.3160762942779294,0.0,0.0,0.0,,,,8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION,37.0,,,,,,
8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION__PRODUCT_3,One-Shoulder Premium Dress,https://dd3662-08.myshopify.com/collections/c34-ads-collection-march-06,2025-01-08 00:00:00+00:00,2025-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7051243243243244,-100.0,0.0,2.7051243243243244,218.21621621621622,5.054054054054054,2.3160762942779294,0.0,0.0,0.0,,,,8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION,37.0,,,,,,
